"","ID","ORIGIN_NOM","IMPORTANCE","NATURE","X_WGS84","Y_WGS84","X_ALBERS","Y_ALBERS","present_bio_1","present_bio_10","present_bio_11","present_bio_12","present_bio_13","present_bio_14","present_bio_15","present_bio_16","present_bio_17","present_bio_18","present_bio_19","present_bio_2","present_bio_3","present_bio_4","present_bio_5","present_bio_6","present_bio_7","present_bio_8","present_bio_9","cclgmbi1","cclgmbi10","cclgmbi11","cclgmbi12","cclgmbi13","cclgmbi14","cclgmbi15","cclgmbi16","cclgmbi17","cclgmbi18","cclgmbi19","cclgmbi2","cclgmbi3","cclgmbi4","cclgmbi5","cclgmbi6","cclgmbi7","cclgmbi8","cclgmbi9","melgmbi1","melgmbi10","melgmbi11","melgmbi12","melgmbi13","melgmbi14","melgmbi15","melgmbi16","melgmbi17","melgmbi18","melgmbi19","melgmbi2","melgmbi3","melgmbi4","melgmbi5","melgmbi6","melgmbi7","melgmbi8","melgmbi9","mrlgmbi1","mrlgmbi10","mrlgmbi11","mrlgmbi12","mrlgmbi13","mrlgmbi14","mrlgmbi15","mrlgmbi16","mrlgmbi17","mrlgmbi18","mrlgmbi19","mrlgmbi2","mrlgmbi3","mrlgmbi4","mrlgmbi5","mrlgmbi6","mrlgmbi7","mrlgmbi8","mrlgmbi9"
"rocher.de.la.selle","PAIOROGR0000000007456275","BDNyme","6","Sommet","6.04128317836","44.9481763214","-310930.694509","1639498.64346","29.8827840357721","117.882784035772","-35.2691140418973","13272.8483822182","1242.35155467158","850.33958574739","12","3727.05466401475","2835.62200563017","2835.62200563017","3714.9028178012","100.528965526981","37","6601.01318656351","190.000723538702","-80.1172159642279","270.11793950293","-35.1172159642279","117.882784035772","-44.6085297442247","19.6519596993965","-115.729111907131","1613.39890030251","179.239692145125","88.2500907943731","18.8789589975492","491.722875325851","295.226918955061","318.236810933738","472.348403478096","64.3885890443885","28.6255281522445","5330.12333724445","60.1635054475067","-160.110642353203","220.274147800709","-108.729570746676","15.5262021273796","-43.6085297442247","31.5262021273796","-116.729111907131","1523.39415122088","148.993778737682","86.3753895268452","12.4955128502063","401.107632967698","344.233092386353","382.477009749434","399.724299675512","74.7673186221653","30.4997705802276","5872.01028494208","77.1635054475067","-164.110642353203","241.274147800709","-101.638203265101","-48.5158759211797","-42.6085297442247","15.5214855578135","-104.224624757337","1325.26890031943","162.604730853748","69.365956387713","26.3744718477555","449.590485482997","218.107761141816","255.482691829116","449.590485482997","78.7673186221653","37.1347318716043","4785.33513621027","64.1635054475067","-145.110642353203","209.274147800709","-104.224624757337","10.5262021273796"
"pointes.de.burlan","PAIOROGR0000000007456037","BDNyme","8","Pic","6.23378553195","44.9685422165","-295707.724036","1640971.19145","5.53302819611814","88.7370986019563","-55.2629013980437","12832.8102833187","1225.91859188324","816.7104220972","13","3677.75577564971","2742.62901398044","2742.62901398044","3526.50690180529","104.795929594162","37.7959295941619","6189.35915146489","163.737098601956","-111.262901398044","275","-50.4669718038819","88.7370986019563","-70.0038635908678","-7.54821076422578","-137.451197640789","1881.26092814827","212.590903106304","104.478371338552","20.4900263919997","586.498280887876","342.054848095499","369.925140407656","562.690628133797","56.4129604845638","26.5382396007213","5189.10340503897","26.9606705488164","-180.906850467431","207.867521016248","-133.768824002868","-9.83146356094689","-69.0038635908677","4.36920246169494","-138.031037288631","1781.8318623134","177.321489952947","97.5881318103943","13.0825867740793","478.612469931403","388.309834899499","447.879111788851","478.612469931403","66.4129604845638","28.5099736080003","5684.54898414923","44.0715233156166","-182.305971308631","226.377494624248","-138.031037288631","-66.513837198868","-68.114716357668","-12.4323427197469","-125.36861086671","1541.1230143039","193.619169099025","76.6153055081572","27.572613166079","532.41350952388","251.281595520946","297.317061381261","532.41350952388","70.3021077177636","35.5099736080003","4578.99782195345","30.9606705488164","-163.079250497352","194.039921046169","-125.36861086671","-15.8314635609469"
"pic.du.clapier.du.peyron","PAIOROGR0000000007456271","BDNyme","5","Sommet","6.07586559372","44.937043701","-308283.653801","1638111.65446","18.3988488864311","104.581055305832","-45.6011511135689","13704.1271324389","1276.05749772244","888.131949219246","12","3828.1724931673","2954.09747376819","2954.09747376819","3729.99455736131","97.2028464910065","36","6452.04330062903","175.581055305832","-92.418944694168","268","-43.6057497722435","104.581055305832","-55.3235446431214","7.70228317435832","-124.711336817301","1718.42122067499","192.242062686962","94.1065673122207","19.3207742492801","528.131957121585","312.696130324622","337.629525009942","507.501359799025","59.7974867003594","27.6976152474598","5241.81691294838","45.111977700538","-167.427341561501","212.539319262039","-119.330982963861","4.01561910289852","-54.3235446431214","19.7022831743583","-125.711336817301","1623.73308993737","159.972531462421","90.5272130144004","12.9925616792601","430.667763528363","361.794690908622","406.513878656883","430.652886886884","70.1221864151192","29.6901769267199","5774.55047680976","62.122928876538","-171.427341561501","233.550270438039","-124.893121535916","-53.0137215698413","-53.3235446431214","3.37758345959853","-113.390562568021","1412.66117981173","175.880996588942","72.5609648010804","27.2988718972801","483.484281171185","230.888434909682","271.127727202802","483.484281171185","73.8049250210993","36.0183894967399","4688.01819039946","49.111977700538","-152.099128991481","201.211106692019","-113.390562568021","-0.984380897101476"
"aiguille.dibona","PAIOROGR0000000007456025","BDNyme","7","Pic","6.24231861537","44.9626670482","-295071.971828","1640281.84787","9.91506676969869","94.0345435844885","-51.1024763561113","12611.5535400322","1203.58973111501","798.805231852102","13","3610.76919334503","2689.91986104201","2689.91986104201","3460.76919334503","104.98245687419","37.98245687419","6230.25047432153","168.915066769699","-105.837423037792","274.75248980749","-47.2219531709011","94.0345435844885","-66.8214727866932","-4.09515140884862","-135.006764307176","1847.51649530044","208.117878201965","102.414757907023","20.2080183135997","574.420206124464","336.634902546034","363.452292034669","551.209506801747","57.7035945847278","26.9169749165626","5222.27614858674","30.9798306472361","-178.733085685021","209.712916332257","-131.009445316294","-6.61613548221109","-65.8214727866932","7.71419505243339","-135.22946638654","1750.5276936267","173.824153795811","96.0134050455877","13.190653538718","468.98808344256","383.030893389234","440.177334692337","468.98808344256","67.7035945847278","28.7919816864003","5711.15157356809","48.2954774161164","-180.209420602541","228.504898018657","-135.22946638654","-63.6134544730935","-65.1371195555735","-9.13980056469109","-122.816110768458","1511.39474037226","189.242871432128","75.4213986454345","27.3986718523177","520.795553325115","246.65622705021","291.85492361628","520.795553325115","71.3879478158475","35.7919816864003","4608.3002386409","34.9798306472361","-160.938422989503","195.918253636739","-122.816110768458","-12.6161354822111"
"tête.de.la.muraillette","PAIOROGR0000000007456272","BDNyme","5","Sommet","6.07991808359","44.9466140749","-307908.427233","1639161.25296","21.3867601651724","108.186509156639","-41.9938402542279","13400.0774942381","1247.06494413147","869.067454216804","12","3741.19483239442","2883.74440673628","2883.74440673628","3647.93589245695","97.7997489914668","36","6465.18991963847","179.480014743492","-87.9938402542279","267.47385499772","-40.6132398348276","108.186509156639","-47.9331238696889","15.9418273207107","-118.958121669944","1649.07154210405","183.509039751252","90.2377153897407","18.7976787353016","503.405095500295","302.081930576678","325.474966782582","483.408120556433","63.614769155481","28.4210590622983","5330.11801046119","56.0246559870244","-163.30971363853","219.334369625555","-112.553479140547","12.0496836914416","-47.0245637075183","27.8145293609401","-119.958121669944","1559.54407001106","154.009902423726","87.7696558789081","12.7812622024001","414.035757383455","349.292581007985","391.881394465251","410.440923718074","74.0328031616411","30.2937611025277","5861.27559124837","73.0246559870244","-167.30971363853","240.334369625555","-93.3438266066368","-55.6326102690131","-45.9331238696889","11.61523315238","-107.412789704014","1354.28464243693","166.780828109663","70.4102286447743","26.5789409377017","460.39472907967","222.838658975721","261.248111714528","460.39472907967","77.614769155481","36.7476532306291","4775.20049783469","60.0246559870244","-147.89167963237","207.916335619395","-107.412789704014","7.04968369144159"
"le.sirac","PAIOROGR0000000075590786","BDNyme","1","Sommet","6.30679237775","44.7890338083","-290990.494861","1620671.9064","11.0333106216076","96.0333106216076","-50.5434751989921","14665.4246897426","1426.57606399244","838.85868799748","17","4279.72819197732","2885.43475198992","2885.43475198992","4031.70693688012","107.114131200252","38","6265.12088247777","172.033310621608","-107.42934399874","279.462654620348","-46.5434751989921","96.0333106216076","-46.0350636043991","18.4017477948008","-116.309029472399","1595.86189008519","179.652032054665","83.1288724213331","20.3769756921329","496.097080300531","284.786960333599","306.812822930799","473.402964623332","62.6077674430668","28.1369829339999","5332.80772022307","57.8898438237335","-161.069036714266","218.958880538","-110.735235139199","14.4788950217337","-44.6580879122663","30.4017477948008","-115.932053780266","1545.50763184066","152.471875003599","87.8290439561331","13","405.653122549197","354.0761830664","385.384562608934","405.224862227331","72.5479317359998","30.1369829339999","5836.27534949042","75.8898438237335","-163.069036714266","238.958880538","-100.119180663206","-44.5982522051992","-44.5982522051992","13.4788950217337","-103.932053780266","1288.27780425026","156.683950509466","66.103009824133","25.8630170660001","433.436937733199","211.334892069599","250.360754666799","433.436937733199","75.6077674430668","36.1369829339999","4732.60881500054","60.8898438237335","-144.069036714266","204.958880538","-103.932053780266","9.02477210266789"
"mont.pelvoux","PAIOROGR0000000075590192","BDNyme","2","Sommet","6.39989255211","44.8988092088","-283058.974294","1632541.50399","-14.76448267555","67.3040782563755","-73.7719649853445","15264.7819915334","1528.62878136149","878.330436074754","17.0983954605991","4585.88634408447","3006.0500859282","3016.0500859282","4344.90238947848","110","39","6052.45209810365","144.296595946581","-137.695921743624","281.992517690206","-65.9314390680745","67.2280350146555","-74.9133926943364","-12.4610760622999","-140.720604707769","1905.77649298694","217.441432472759","103.735121830569","20.7546102602185","601.479446888874","340.979619341465","369.765133250643","574.480048163207","55.5049183852506","26.3618533056292","5150.25172499828","21.4226834290737","-184.153879024598","205.576562453672","-138.275245999966","-14.6489606393476","-72.9133926943364","-0.396612975333011","-139.792025718969","1829.12130917539","183.34423427934","100.056680831179","13","492.366085226515","399.026977413916","459.685551766543","491.370988636035","65.5049183852506","28.3428109904219","5617.85018897335","39.513146755481","-184.320889828947","223.834036584428","-129.117353202908","-70.094319347151","-72.8489296073695","-17.468033986533","-127.811068034176","1549.27142175877","193.913169637115","75.818850289964","27.5736836074039","532.759375558107","252.30835932353","301.074830917501","532.759375558107","68.5049183852506","35.278347903455","4506.84917153603","24.4871465160406","-165.418311079587","189.905457595628","-127.811068034176","-20.6489606393476"
"la.meije","PAIOROGR0000000075589752","BDNyme","2","Montagne","6.31226828463","45.0075219321","-289331.787776","1645003.10869","-5.43056504365534","77.5694349563447","-65.1785883830554","13899.2117874077","1363.88410061502","838.827644548337","15","4091.65230184505","2875.23151176935","2875.23151176935","3897.86419050871","108.5039533212","38.2519766605999","6136.83138524456","155.444292768779","-124.934518364855","280.378811133634","-59.3037305706214","77.5694349563447","-69.1933489252457","-6.51459920165277","-136.560194063385","1873.05688984691","210.155091879201","105.280754126637","19.321250276407","579.112023169408","344.880288197495","371.477425117037","556.1518256338","57.043818214925","26.684310892473","5218.72182755021","28.5254344911992","-181.233382618098","209.758817109297","-132.881444339792","-9.19512557205264","-67.8756519424525","6.16415052194019","-136.558417416578","1766.57403256161","174.83584947806","96.5966744626229","13.0017766468069","472.872848153971","384.751766341824","446.673475602926","472.872848153971","67.7243445853249","29.0020078752662","5691.05332034906","46.5254344911992","-181.921478032644","228.446912523843","-136.558417416578","-65.1971334473188","-67.1951255720526","-10.8358494780598","-124.554632894505","1536.37360609611","192.837626124867","77.3172345258747","27.321250276407","529.273240902245","252.555947084393","297.156637297548","529.273240902245","71.0420415681181","35.9982233531931","4600.66335625317","32.5254344911992","-162.240951662244","194.766386153443","-124.554632894505","-14.5145992016528"
"pic.ouest..le.rateau.","PAIOROGR0000000075589753","BDNyme","8","Pic","6.27272715428","45.0001141691","-292473.514605","1644334.35107","-7.08561928528423","74.9143807147158","-67.0856192852842","13773.1537814626","1340.66218110681","841.928026548794","14.9270071405992","4021.98654332043","2879.59034741086","2879.59034741086","3839.52259992366","107.946408315202","38","6120.27007140599","151.914380714716","-127.959034741086","279.873415455802","-61.0856192852842","74.9143807147158","-73.789164982397","-11.7610835545567","-141.279765802077","1926.00344207469","216.699689662716","108.346639810718","19.9719185721597","599.583940610388","352.598822346234","380.554549648634","575.617502155029","56.0440236169607","26.9826297251198","5197.97630622321","21.803050395684","-184.353298932638","206.156349328322","-138.251684374237","-14.2638236129567","-72.7665636713566","0.266997873283548","-140.805107171517","1819.60082209085","180.733002126716","98.8945824911985","13.4746586305597","489.74552097487","393.594272153914","458.940662883993","489.74552097487","66.5467636753606","29.0052310361602","5654.73374067857","39.803050395684","-185.815818324478","225.618868720162","-140.805107171517","-70.2690546491169","-72.2638236129567","-16.7330021267165","-128.325217504798","1576.56719641549","199.207660757276","77.9614564998392","27.9719185721597","545.723417825109","257.738731324156","304.643775887675","545.723417825109","69.569364986401","35.5253413694403","4568.07322320609","25.803050395684","-166.313078266078","192.116128661762","-128.325217504798","-19.7610835545567"
"barre.des.Ecrins","PAIOROGR0000000075590086","BDNyme","2","Sommet","6.35988760548","44.9223741373","-286071.09154","1635323.75582","-14.9425878319459","66.9099111844283","-73.9425878319459","14868.412629362","1479.73199691347","850","17","4439.1959907404","2939.38776281198","2939.38776281198","4209.1959907404","106","38","6019.59149450521","141.061223718802","-135.090088815572","276.151312534373","-65.9693881405993","66.9099111844283","-88.3253796228896","-27.5012541344062","-152.46268215441","2050.54122341911","235.051731331852","113.236007209127","21.2257181732798","650.33075820771","367.696439646253","398.697396418256","621.417260305464","52.3620639327975","26","5062.7238653716","4.08652797167114","-196.09966144961","200.186189421281","-151.32537962289","-29.1880770913694","-86.6385566659264","-14.5510977961695","-151.550141024167","1956.76210876312","196.27713920577","106.226028472642","13.3131770430368","530.917273242423","420.002844442091","491.651069545141","530.917273242423","61.4993664643177","28.0874588697569","5515.68436249352","22.0865279716711","-193.824746087207","215.911274058878","-151.550141024167","-83.0890362404834","-85.6884003276897","-32.5012541344062","-139.46268215441","1670.81298404006","212.099971748972","80.4614150830453","28.2257181732798","580.288022966424","271.148212166092","323.412502319368","580.288022966424","65.3620639327974","35","4415.94862677288","7.72350726687104","-176.550141024167","184.273648291038","-139.46268215441","-34.9517337089632"
"le.râteau","PAIOROGR0000000075589759","BDNyme","3","Sommet","6.2809298122","45.0006357973","-291827.46217","1644359.774","-7.22987224388372","74.9448123355166","-67.2298722438837","13856.0393637472","1349.31394687832","846.768326102676","14.7277242130164","4047.94184063495","2894.33542718699","2894.33542718699","3862.41144429879","108.701522443948","38","6124.49369158801","151.944812335517","-127.880503085083","279.8253154206","-61.2298722438837","74.9448123355166","-72.9123531835839","-10.7643746916496","-140.356398538586","1915.5744736859","215.445294487113","107.705997013523","19.8520215080657","595.742015496209","350.929207159638","378.697068906235","571.920512258543","56.224743203671","26.905662999134","5199.87728851701","23.0699646480874","-183.746692523321","206.816657171408","-137.208420046652","-13.2796338268495","-71.7948929620494","1.38360380028474","-139.989117895321","1809.55311672898","179.616396199715","98.4561765917919","13.3672806432656","486.581795888285","391.901471078904","456.600073042696","486.581795888285","66.7400023388709","29.0231232206685","5659.88289848643","41.0699646480874","-185.042759386389","226.112724034476","-139.989117895321","-69.3027570475179","-71.2796338268495","-15.6163961997153","-127.598714031387","1568.51462711726","197.983676842981","77.8057750667288","27.8520215080657","542.479125766214","256.654309519846","303.156732552975","542.479125766214","69.8574625604054","35.6327193567344","4572.53340989069","27.0699646480874","-165.527500251189","192.597464899276","-127.598714031387","-18.7643746916496"
"Summits",NA,NA,"NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
