"","taxized","n"
"1","Abies alba",58
"2","Acer campestre",60
"3","Acer monspessulanum",9
"4","Acer opalus",48
"5","Acer platanoides",8
"6","Acer pseudoplatanus",103
"7","Achillea distans",4
"8","Achillea millefolium",166
"9","Achillea nobilis",1
"10","Achillea roseo",3
"11","Achnatherum calamagrostis",38
"12","Aconitum anthora",23
"13","Aconitum laeve",33
"14","Aconitum variegatum",6
"15","Actaea spicata",14
"16","Adenostyles alliariae",44
"17","Adenostyles alpina",25
"18","Adenostyles leucophylla",42
"19","Adonis aestivalis",1
"20","Adoxa moschatellina",9
"21","Aegopodium podagraria",34
"22","Aethionema saxatile",6
"23","Aethusa cynapium",1
"24","Agrestis alpina",34
"25","Agrestis rupestris",69
"26","Agrimonia eupatoria",11
"27","Agrostis capillaris",83
"28","Agrostis stolonifera",20
"29","Ajuga chamaepitys",2
"30","Ajuga genevensis",8
"31","Ajuga pyramidalis",12
"32","Ajuga reptans",25
"33","Alchemilla alpina",154
"34","Alchemilla conjuncta",12
"35","Alchemilla connivens",1
"36","Alchemilla fissa",27
"37","Alchemilla flabellata",24
"38","Alchemilla glabra",31
"39","Alchemilla glaucescens",40
"40","Alchemilla gracilis",4
"41","Alchemilla incisa",18
"42","Alchemilla monticola",1
"43","Alchemilla NA",67
"44","Alchemilla pentaphyllea",16
"45","Alchemilla plicata",7
"46","Alchemilla saxatilis",21
"47","Alchemilla subcrenata",2
"48","Alchemilla transiens",50
"49","Alchemilla xanthochlora",45
"50","Alisma plantago-aquatica",2
"51","Alliaria petiolata",11
"52","Allium lineare",1
"53","Allium oleraceum",29
"54","Allium schoenoprasum",11
"55","Allium scorodoprasum",9
"56","Allium senescens",8
"57","Allium tauricum",2
"58","Allium ursinum",8
"59","Allium victorialis",4
"60","Alnus glutinosa",2
"61","Alnus incana",30
"62","Alnus viridis",82
"63","Alopecurus magellanicus",27
"64","Alopecurus myosuroides",1
"65","Alsinanthus biflorus",6
"66","Alyssoides utriculata",9
"67","Alyssum alpestre",2
"68","Alyssum alyssoides",10
"69","Amelanchier ovalis",106
"70","Amygdalus communis",1
"71","Androrchis pallens",1
"72","Androsace carnea",34
"73","Androsace helvetica",4
"74","Androsace maxima",1
"75","Androsace obtusifolia",14
"76","Androsace vandellii",8
"77","Androsace vitaliana",13
"78","Anemone narcissiflora",6
"79","Anemonoides baldensis",18
"80","Anemonoides ranunculoides",2
"81","Angelica sylvestris",18
"82","Antennaria carpatica",28
"83","Antennaria dioica",50
"84","Anthericum liliago",47
"85","Anthoxanthum odoratum",305
"86","Anthriscus sylvestris",16
"87","Anthyllis montana",9
"88","Anthyllis vulneraria",93
"89","Antirrhinum majus",3
"90","Aquilegia vulgaris",23
"91","Arabidopsis thaliana",4
"92","Arabis allionii",2
"93","Arabis alpina",33
"94","Arabis auriculata",1
"95","Arabis caerulea",2
"96","Arabis ciliata",19
"97","Arabis collina",7
"98","Arabis hirsuta",16
"99","Arabis nova",2
"100","Arabis sagittata",1
"101","Arabis soyeri",6
"102","Arctium minus",2
"103","Arctium nemorosum",2
"104","Arctostaphylos uva-ursi",49
"105","Arenaria gothica",6
"106","Arenaria serpyllifolia",22
"107","Aretia pubescens",18
"108","Armeria alpina",36
"109","Armeria arenaria",4
"110","Arnica montana",23
"111","Arrhenatherum elatius",65
"112","Arrhenatherum parlatorei",36
"113","Artemisia absinthium",9
"114","Artemisia alba",21
"115","Artemisia atrata",2
"116","Artemisia campestris",16
"117","Artemisia genipi",9
"118","Artemisia umbelliformis",57
"119","Artemisia vulgaris",17
"120","Arum maculatum",1
"121","Aruncus dioicus",11
"122","Asarum europaeum",3
"123","Asparagus tenuifolius",2
"124","Asperugo procumbens",2
"125","Asperula cynanchica",38
"126","Asphodelus albus",57
"127","Asphodelus macrocarpus",1
"128","Asplenium adiantum-nigrum",5
"129","Asplenium ceterach",2
"130","Asplenium exiguum",3
"131","Asplenium ruta-muraria",11
"132","Asplenium septentrionale",38
"133","Asplenium trichomanes",38
"134","Asplenium viride",11
"135","Aster alpinus",48
"136","Astragalus alpinus",12
"137","Astragalus australis",4
"138","Astragalus austriacus",2
"139","Astragalus cicer",7
"140","Astragalus danicus",15
"141","Astragalus depressus",7
"142","Astragalus glycyphyllos",8
"143","Astragalus monspessulanus",21
"144","Astragalus onobrychis",4
"145","Astragalus penduliflorus",8
"146","Astragalus sempervirens",19
"147","Astragalus stella",1
"148","Astragalus vesicarius",10
"149","Astrantia major",103
"150","Athamanta cretensis",19
"151","Athyrium alpestre",8
"152","Athyrium filix-femina",16
"153","Atocion rupestre",68
"154","Atragene alpina",19
"155","Atropa belladonna",1
"156","Aucuba NA",3
"157","Barbarea intermedia",1
"158","Barbarea vulgaris",3
"159","Bartsia alpina",61
"160","Bellardiochloa variegata",1
"161","Bellidiastrum michelii",38
"162","Berardia subacaulis",4
"163","Berberis vulgaris",65
"164","Betonica officinalis",12
"165","Betula pendula",68
"166","Betula pubescens",11
"167","Biscutella laevigata",47
"168","Bistorta officinalis",14
"169","Bitteria digitata",19
"170","Blackstonia perfoliata",2
"171","Blechnum spicant",1
"172","Blysmus compressus",4
"173","Bombycilaena erecta",2
"174","Bothriochloa ischaemum",4
"175","Botrychium lunaria",61
"176","Botrychium NA",1
"177","Brachypodium pinnatum",20
"178","Brachypodium rupestre",134
"179","Brachypodium sylvaticum",25
"180","Brassica repanda",2
"181","Briza media",89
"182","Bromus benekenii",13
"183","Bromus erectus",77
"184","Bromus hordeaceus",4
"185","Bromus inermis",1
"186","Bromus squarrosus",1
"187","Bromus sterilis",5
"188","Bromus tectorum",1
"189","Bryonia cretica",1
"190","Buddleja davidii",4
"191","Buglossoides arvensis",1
"192","Buglossoides incrassata",1
"193","Bunias orientalis",4
"194","Bunium bulbocastanum",56
"195","Buphthalmum salicifolium",38
"196","Bupleurum falcatum",68
"197","Bupleurum petraeum",8
"198","Bupleurum ranunculoides",12
"199","Bupleurum rotundifolium",1
"200","Bupleurum stellatum",36
"201","Buxus sempervirens",1
"202","Calamagrostis epigejos",6
"203","Calamagrostis pseudophragmites",5
"204","Calamagrostis schraderiana",45
"205","Calamagrostis varia",74
"206","Calamagrostis villosa",6
"207","Calathiana bavarica",3
"208","Calathiana brachyphylla",24
"209","Calathiana orbicularis",10
"210","Calathiana verna",4
"211","Callianthemum coriandrifolium",1
"212","Calluna vulgaris",34
"213","Caltha palustris",12
"214","Calystegia sepium",10
"215","Camelina microcarpa",1
"216","Campanula alpestris",7
"217","Campanula cenisia",17
"218","Campanula glomerata",8
"219","Campanula latifolia",2
"220","Campanula linifolia",116
"221","Campanula NA",4
"222","Campanula patula",2
"223","Campanula persicifolia",9
"224","Campanula rapunculoides",13
"225","Campanula rhomboidalis",93
"226","Campanula rotundifolia",194
"227","Campanula spicata",7
"228","Campanula trachelium",9
"229","Capsella bursa-pastoris",10
"230","Cardamine alpina",14
"231","Cardamine heptaphylla",2
"232","Cardamine hirsuta",1
"233","Cardamine impatiens",10
"234","Cardamine pentaphyllos",6
"235","Cardamine resedifolia",51
"236","Carduus acanthoides",3
"237","Carduus carlinifolius",23
"238","Carduus defloratus",69
"239","Carduus medius",54
"240","Carduus nutans",3
"241","Carduus personata",5
"242","Carex acutiformis",3
"243","Carex alba",1
"244","Carex atrata",30
"245","Carex capillaris",5
"246","Carex caryophyllea",18
"247","Carex cespitosa",11
"248","Carex chillanensis",12
"249","Carex davalliana",15
"250","Carex digitata",24
"251","Carex echinata",6
"252","Carex ferruginea",214
"253","Carex flacca",36
"254","Carex flava",3
"255","Carex foetida",21
"256","Carex frigida",19
"257","Carex hirta",3
"258","Carex hordeistichos",1
"259","Carex hostiana",1
"260","Carex humilis",8
"261","Carex liparocarpos",3
"262","Carex macloviana",3
"263","Carex montana",9
"264","Carex muricata",6
"265","Carex NA",1
"266","Carex pallescens",3
"267","Carex panicea",15
"268","Carex planostachys",17
"269","Carex rostrata",2
"270","Carex rupestris",8
"271","Carex spicata",4
"272","Carex sylvatica",4
"273","Carex vesicaria",2
"274","Carex viridula",9
"275","Carex vulpina",1
"276","Carlina acanthifolia",16
"277","Carlina acaulis",126
"278","Carlina biebersteinii",4
"279","Carlina vulgaris",8
"280","Carum carvi",23
"281","Cassida alpina",58
"282","Catananche caerulea",9
"283","Caucalis platycarpos",2
"284","Cedrus atlantica",1
"285","Centaurea jacea",25
"286","Centaurea NA",2
"287","Centaurea scabiosa",47
"288","Centaurea solstitialis",1
"289","Centaurea stoebe",1
"290","Centaurea uniflora",106
"291","Centaurium erythraea",1
"292","Centranthus angustifolius",13
"293","Centranthus calcitrapae",6
"294","Cephalanthera damasonium",8
"295","Cephalanthera longifolia",14
"296","Cephalaria alpina",2
"297","Cerastium alpinum",6
"298","Cerastium arvense",184
"299","Cerastium cerastoides",6
"300","Cerastium fontanum",12
"301","Cerastium latifolium",26
"302","Cerastium pedunculatum",8
"303","Cerastium pumilum",3
"304","Cerastium semidecandrum",3
"305","Cerastium uniflorum",10
"306","Cerasus avium",25
"307","Cerinthe glabra",1
"308","Cerinthe minor",13
"309","Chaenorhinum minus",3
"310","Chaenorhinum rubrifolium",1
"311","Chaerophyllum aureum",12
"312","Chaerophyllum temulum",1
"313","Chaerophyllum villarsii",96
"314","Chamaedrys montana",22
"315","Chamaenerion montanum",20
"316","Chamerion dodonaei",45
"317","Chamorchis alpina",2
"318","Chara Linnaeus",2
"319","Chelidonium majus",3
"320","Chenopodium album",3
"321","Chenopodium bonus-henricus",23
"322","Chondrilla juncea",2
"323","Chrysosplenium alternifolium",3
"324","Cichorium intybus",2
"325","Cirsium acaule",22
"326","Cirsium arvense",14
"327","Cirsium eriophorum",8
"328","Cirsium monspessulanum",11
"329","Cirsium NA",6
"330","Cirsium palustre",7
"331","Cirsium spinosissimum",41
"332","Cirsium vulgare",2
"333","Cladium mariscus",1
"334","Clematis vitalba",16
"335","Clinopodium acinos",13
"336","Clinopodium alpinum",51
"337","Clinopodium grandiflorum",21
"338","Clinopodium nepeta",9
"339","Clinopodium vulgare",52
"340","Coincya monensis",12
"341","Coincya richeri",8
"342","Colchicum alpinum",9
"343","Colchicum autumnale",21
"344","Colutea arborescens",5
"345","Complément flore",21
"346","Consolida regalis",1
"347","Convallaria majalis",16
"348","Convolvulus arvensis",5
"349","Conyza canadensis",2
"350","Corallorhiza trifida",4
"351","Coristospermum ferulaceum",1
"352","Cormus domestica",1
"353","Coronilla minima",11
"354","Coronilla vaginalis",1
"355","Corydalis intermedia",3
"356","Corydalis solida",4
"357","Corylus avellana",60
"358","Cotoneaster integerrimus",14
"359","Cotoneaster NA",64
"360","Cotoneaster tomentosus",9
"361","Crataegus laevigata",3
"362","Crataegus monogyna",49
"363","Crepis aurea",3
"364","Crepis biennis",4
"365","Crepis conyzifolia",14
"366","Crepis foetida",4
"367","Crepis nicaeensis",2
"368","Crepis paludosa",8
"369","Crepis pontana",4
"370","Crepis pygmaea",9
"371","Crepis pyrenaica",35
"372","Crepis vesicaria",2
"373","Crocus vernus",25
"374","Cruciata glabra",6
"375","Cruciata laevipes",7
"376","Crupina vulgaris",1
"377","Cryptogramma crispa",40
"378","Cucubalus baccifer",1
"379","Cuscuta epilinum",1
"380","Cuscuta epithymum",9
"381","Cuscuta europaea",3
"382","Cuscuta planiflora",1
"383","Cyanus montanus",35
"384","Cyanus segetum",2
"385","Cynoglossum officinale",6
"386","Cynosurus cristatus",1
"387","Cypripedium calceolus",74
"388","Cystopteris dickieana",1
"389","Cystopteris fragilis",31
"390","Cytisophyllum sessilifolium",3
"391","Dactylis glomerata",160
"392","Dactylorhiza fuchsii",24
"393","Dactylorhiza incarnata",1
"394","Dactylorhiza lapponica",4
"395","Dactylorhiza maculata",1
"396","Dactylorhiza majalis",14
"397","Dactylorhiza sambucina",23
"398","Dactylorhiza viridis",11
"399","Danthonia decumbens",3
"400","Daphne alpina",6
"401","Daphne cneorum",5
"402","Daphne laureola",1
"403","Daphne mezereum",55
"404","Dasistepha asclepiadea",4
"405","Daucus carota",22
"406","Deschampsia cespitosa",35
"407","Deschampsia flexuosa",182
"408","Descurainia sophia",2
"409","Descurainia tanacetifolia",22
"410","Dianthus carthusianorum",1
"411","Dianthus caryophyllus",60
"412","Dianthus deltoides",12
"413","Dianthus hyssopifolius",26
"414","Dianthus pavonius",2
"415","Diaphyllum longifolium",4
"416","Digitalis grandiflora",80
"417","Digitalis lutea",4
"418","Dioscorea communis",1
"419","Dittrichia graveolens",1
"420","Doronicum grandiflorum",45
"421","Doronicum pardalianches",3
"422","Dorycnium pentaphyllum",1
"423","Draba aizoides",19
"424","Draba dubia",31
"425","Draba fladnizensis",11
"426","Draba verna",6
"427","Dracocephalum ruyschiana",8
"428","Drosera rotundifolia",2
"429","Dryas octopetala",44
"430","Dryopteris dilatata",1
"431","Dryopteris expansa",1
"432","Dryopteris filix-mas",108
"433","Dryopteris mindshelkensis",13
"434","Echinops ritro",14
"435","Echinops sphaerocephalus",6
"436","Echium vulgare",29
"437","Ecologie verticale",17
"438","Edritria ferruginea",30
"439","Eleocharis macrostachya",2
"440","Eleocharis mamillata",2
"441","Eleocharis quinqueflora",3
"442","Eleocharis uniglumis",1
"443","Elymus caninus",8
"444","Elymus NA",3
"445","Elymus repens",8
"446","Elytrigia intermedia",2
"447","Empetrum nigrum",13
"448","Epilobium alpestre",7
"449","Epilobium alsinifolium",7
"450","Epilobium anagallidifolium",13
"451","Epilobium angustifolium",41
"452","Epilobium collinum",8
"453","Epilobium hirsutum",17
"454","Epilobium palustre",3
"455","Epilobium parviflorum",3
"456","Epipactis atrorubens",8
"457","Epipactis helleborine",11
"458","Epipactis palustris",8
"459","Epipogium aphyllum",1
"460","Equisetum arvense",23
"461","Equisetum fluviatile",3
"462","Equisetum hyemale",1
"463","Equisetum NA",2
"464","Equisetum palustre",18
"465","Equisetum variegatum",9
"466","Erigeron acris",10
"467","Erigeron annuus",3
"468","Erigeron glabratus",11
"469","Erigeron NA",3
"470","Erigeron neglectus",2
"471","Erigeron uniflorus",18
"472","Erinus alpinus",3
"473","Eriophorum angustifolium",12
"474","Eriophorum latifolium",13
"475","Eriophorum scheuchzeri",5
"476","Eritrichium nanum",50
"477","Erodium cicutarium",5
"478","Erucastrum nasturtiifolium",5
"479","Eryngium alpinum",8
"480","Eryngium campestre",16
"481","Erysimum jugicola",7
"482","Erysimum nevadense",1
"483","Erysimum ochroleucum",2
"484","Erysimum rhaeticum",16
"485","Erysimum virgatum",5
"486","Euonymus europaeus",9
"487","Euonymus latifolius",7
"488","Eupatorium cannabinum",19
"489","Euphorbia brittingeri",2
"490","Euphorbia cyparissias",178
"491","Euphorbia exigua",1
"492","Euphorbia helioscopia",2
"493","Euphrasia alpina",1
"494","Euphrasia drosocalyx",25
"495","Euphrasia hirtella",7
"496","Euphrasia kerneri",1
"497","Euphrasia minima",34
"498","Euphrasia pectinata",7
"499","Euphrasia salisburgensis",18
"500","Euphrasia stricta",5
"501","Fagus sylvatica",85
"502","Fallopia convolvulus",3
"503","Fallopia japonica",1
"504","Festuca acuminata",64
"505","Festuca altissima",3
"506","Festuca arundinacea",2
"507","Festuca chalcophaea",163
"508","Festuca flavescens",18
"509","Festuca gigantea",2
"510","Festuca halleri",94
"511","Festuca heterophylla",12
"512","Festuca laevigata",184
"513","Festuca melanopsis",33
"514","Festuca ovina",17
"515","Festuca pratensis",15
"516","Festuca rubra",230
"517","Festuca valesiaca",3
"518","Filago arvensis",1
"519","Filipendula ulmaria",32
"520","Filipendula vulgaris",2
"521","Fourraea alpina",22
"522","Fragaria vesca",101
"523","Frangula NA",4
"524","Fraxinus excelsior",142
"525","Fumana procumbens",11
"526","Gagea liotardii",2
"527","Gagea nakaiana",3
"528","Galeopsis ladanum",17
"529","Galeopsis tetrahit",30
"530","Galium aparine",24
"531","Galium boreale",18
"532","Galium commune",16
"533","Galium corrudifolium",4
"534","Galium glaucum",1
"535","Galium lucidum",60
"536","Galium megalospermum",2
"537","Galium mollugo",139
"538","Galium odoratum",23
"539","Galium palustre",1
"540","Galium pseudohelveticum",48
"541","Galium pumilum",94
"542","Galium rotundifolium",6
"543","Galium rubrum",29
"544","Galium sylvaticum",3
"545","Galium verum",42
"546","Gamochaeta sylvatica",8
"547","Genista cinerea",1
"548","Genista pilosa",12
"549","Genistella sagittalis",21
"550","Gentiana acaulis",67
"551","Gentiana cruciata",7
"552","Gentiana nivalis",12
"553","Gentiana pneumonanthe",1
"554","Gentiana verna",45
"555","Gentianella campestris",38
"556","Gentianella tenella",4
"557","Gentianopsis ciliata",2
"558","Gentianusa lutea",121
"559","Gentianusa punctata",40
"560","Geranium argenteum",1
"561","Geranium columbinum",2
"562","Geranium lucidum",2
"563","Geranium molle",2
"564","Geranium nodosum",14
"565","Geranium phaeum",3
"566","Geranium pyrenaicum",16
"567","Geranium rivulare",10
"568","Geranium robertianum",40
"569","Geranium rotundifolium",1
"570","Geranium sanguineum",25
"571","Geranium sylvaticum",195
"572","Geum reptans",30
"573","Geum rivale",7
"574","Geum urbanum",35
"575","Glechoma hederacea",2
"576","Glechoma nepetella",20
"577","Globularia bisnagarica",16
"578","Globularia cordifolia",64
"579","Glyceria fluitans",2
"580","Glyceria notata",7
"581","Gnaphalium hoppeanum",8
"582","Gnaphalium supinum",29
"583","Goodyera repens",8
"584","Gymnadenia conopsea",32
"585","Gymnadenia nigra",24
"586","Gymnocarpium dryopteris",8
"587","Gymnocarpium robertianum",6
"588","Gypsophila repens",44
"589","Hedera helix",6
"590","Hedysarum hedysaroides",14
"591","Helianthemum apenninum",10
"592","Helianthemum grandiflorum",46
"593","Helianthemum nummularium",103
"594","Helianthemum oelandicum",19
"595","Helictotrichon pratense",6
"596","Helictotrichon pubescens",28
"597","Helictotrichon sedenense",131
"598","Helictotrichon sempervirens",9
"599","Helictotrichon versicolor",38
"600","Helleborus foetidus",32
"601","Hepatica nobilis",13
"602","Heracleum sphondylium",72
"603","Herniaria alpina",5
"604","Herniaria hirsuta",3
"605","Herniaria incana",2
"606","Herorchis morio",1
"607","Hieracium alpinum",3
"608","Hieracium amplexicaule",14
"609","Hieracium antarcticum",12
"610","Hieracium argillaceum",3
"611","Hieracium aurantiacum",3
"612","Hieracium bifidum",77
"613","Hieracium cymosum",9
"614","Hieracium diaphanoides",1
"615","Hieracium glaucinum",2
"616","Hieracium intybaceum",2
"617","Hieracium inuloides",2
"618","Hieracium juranum",31
"619","Hieracium lachenalii",8
"620","Hieracium lactucella",8
"621","Hieracium lawsonii",1
"622","Hieracium murorum",71
"623","Hieracium NA",27
"624","Hieracium niphobium",6
"625","Hieracium piliferum",31
"626","Hieracium pilosella",42
"627","Hieracium piloselloides",3
"628","Hieracium pilosum",8
"629","Hieracium praealtum",3
"630","Hieracium prenanthoides",64
"631","Hieracium sabaudum",4
"632","Hieracium schmidtii",6
"633","Hieracium umbellatum",2
"634","Hieracium umbrosum",4
"635","Hieracium valdepilosum",3
"636","Hieracium villosum",28
"637","Himantoglossum hircinum",1
"638","Hippocrepis comosa",64
"639","Hippocrepis emerus",24
"640","Hippophae rhamnoides",10
"641","Holcus lanatus",5
"642","Holosteum umbellatum",1
"643","Homogyne alpina",81
"644","Hordelymus europaeus",5
"645","Hordeum marinum",1
"646","Hornungia alpina",30
"647","Humulus lupulus",15
"648","Huperzia selago",9
"649","Hylotelephium NA",66
"650","Hylotelephium telephium",4
"651","Hyoscyamus niger",2
"652","Hypericum hirsutum",1
"653","Hypericum maculatum",10
"654","Hypericum montanum",10
"655","Hypericum perforatum",59
"656","Hypericum richeri",94
"657","Hypochaeris maculata",32
"658","Hypochaeris radicata",1
"659","Hyssopus officinalis",6
"660","Iberis pinnata",2
"661","Ilex aquifolium",4
"662","Impatiens glandulifera",1
"663","Imperatoria ostruthium",82
"664","Inula conyza",2
"665","Inula montana",9
"666","Isatis tinctoria",1
"667","Ixoca pusilla",3
"668","Jacobaea incana",72
"669","Jasione montana",2
"670","Jonorchis abortiva",4
"671","Juglans nigra",1
"672","Juglans regia",9
"673","Juncus alpinoarticulatus",12
"674","Juncus arcticus",1
"675","Juncus articulatus",17
"676","Juncus bufonius",3
"677","Juncus compressus",1
"678","Juncus effusus",4
"679","Juncus filiformis",6
"680","Juncus inflexus",15
"681","Juncus jacquini",1
"682","Juncus trifidus",102
"683","Juncus triglumis",6
"684","Juniperus communis",298
"685","Juniperus sabina",12
"686","Kernera saxatilis",9
"687","Knautia arvensis",48
"688","Knautia dipsacifolia",11
"689","Knautia NA",8
"690","Kobresia curvula",18
"691","Kobresia myosuroides",41
