"","taxized","combinedname","Combined.Name","GENRE","x","ESPECE","RG","SUBSP.","END.","DIST.","NF","NG","NE","NI"
"267","Orobanche NA","Orobanche","Orobanche ozanonis","Orobanche","","ozanonis","","","End.","W-Alp.","116","1","12",NA
"268","Oxytropis campestris","Oxytropis campestris","Oxytropis campestris","Oxytropis","","campestris","subsp.    ","tyroliensis","End.","E-Alp.","64","18","8","2"
"269","Oxytropis carinthiaca","Oxytropis carinthiaca NA","Oxytropis carinthiaca","Oxytropis","x","carinthiaca","","","End.","E-Alp.","64","18","3",NA
"270","Oxytropis fetida","Oxytropis fetida NA","Oxytropis fetida","Oxytropis","","fetida","","","End.","W-Alp.","64","18","11",NA
"271","Oxytropis halleri","Oxytropis halleri NA","Oxytropis halleri","Oxytropis","","halleri","subsp.    ","velutina","End.","W-Alp.","64","18","9","2"
"272","Oxytropis helvetica","Oxytropis helvetica NA","Oxytropis helvetica","Oxytropis","","helvetica","","","End.","W-Alp.","64","18","4",NA
"273","Oxytropis jacquinii","Oxytropis jacquinii NA","Oxytropis jacquinii","Oxytropis","","jacquinii","","","Subend.","Alp.","64","18","2",NA
"274","Paederota bonarota","Paederota bonarota","Paederota bonarota","Paederota","","bonarota","","","End.","E-Alp.","114","19","1",NA
"275","Papaver alpinum","Papaver alpinum","Papaver alpinum","Papaver","","alpinum","","","End.","E-Alp.","22","1","8",NA
"276","Papaver occidentale","Papaver occidentale NA","Papaver occidentale","Papaver","","occidentale","","","End.","W-Alp.","22","1","12",NA
"277","Papaver sendtneri","Papaver sendtneri NA","Papaver sendtneri","Papaver","","sendtneri","","","End.","E-Alp.","22","1","13",NA
"278","Papaver victoris","Papaver victoris NA","Papaver victoris","Papaver","","victoris","","","End.","E-Alp.","22","1","14",NA
"279","Paronychia kapela","Paronychia kapela NA","Paronychia kapela","Paronychia","","kapela","subsp.    ","galloprovincialis","Subend.","W-Alp.","38","14","3","3"
"280","Pedicularis acaulis","Pedicularis acaulis NA","Pedicularis acaulis","Pedicularis","","acaulis","","","Subend.","E-Alp./Illyr.","114","27","1",NA
"281","Pedicularis gyroflexa","Pedicularis gyroflexa NA","Pedicularis gyroflexa","Pedicularis","","gyroflexa","","","End.?","Alp.","114","27","21",NA
"282","Pedicularis NA","Pedicularis","Pedicularis aspleniifolia","Pedicularis","","aspleniifolia","","","End.","E-Alp.","114","27","23",NA
"283","Pedicularis recutita","Pedicularis recutita NA","Pedicularis recutita","Pedicularis","","recutita","","","End.","Alp.","114","27","6",NA
"284","Pedicularis rosea","Pedicularis rosea NA","Pedicularis rosea","Pedicularis","","rosea","subsp.    ","rosea","Subend.","E-Alp.","114","27","7","1"
"285","Pedicularis rostratospicata","Pedicularis rostratospicata NA","Pedicularis rostratospicata","Pedicularis","","rostratospicata","subsp.    ","helvetica","End.?","W-Alp.","114","27","17","2"
"286","Peucedanum austriacum","Peucedanum austriacum NA","Peucedanum austriacum","Peucedanum","","austriacum","subsp.    ","rablense","End.?","E-Alp.","97","54","6","2"
"287","Phyteuma betonicifolium","Phyteuma betonicifolium subsp. zahlbruckneri","Phyteuma zahlbruckneri","Phyteuma","","zahlbruckneri","","","Subend.","E-Alp.","118","4","5",NA
"288","Phyteuma cordatum","Phyteuma cordatum NA","Phyteuma cordatum","Phyteuma","","cordatum","","","End.","W-Alp.","118","4","7",NA
"289","Phyteuma hedraianthifolium","Phyteuma hedraianthifolium NA","Phyteuma hedraianthifolium","Phyteuma","","hedraianthifolium","","","End.","E-Alp.","118","4","14",NA
"290","Phyteuma humile","Phyteuma humile NA","Phyteuma humile","Phyteuma","","humile","","","End.","W-Alp.","118","4","15",NA
"291","Phyteuma michelii","Phyteuma michelii subsp. betonicifolium","Phyteuma betonicifolium","Phyteuma","","betonicifolium","","","End.","Alp.","118","4","6",NA
"292","Phyteuma pauciflorum","Phyteuma pauciflorum subsp. globulariifolium","Phyteuma globulariifolium","Phyteuma","","globulariifolium","subsp.    ","globulariifolium","End.","E-Alp.","118","4","16","1"
"293","Phyteuma scorzonerifolium","Phyteuma scorzonerifolium var. angustissimum","Phyteuma michelii","Phyteuma","","michelii","","","End.","W-Alp.","118","4","3",NA
"294","Phyteuma sieberi","Phyteuma sieberi NA","Phyteuma sieberi","Phyteuma","","sieberi","","","End.","E-Alp.","118","4","9",NA
"295","Phyteuma villarsii","Phyteuma villarsii NA","Phyteuma villarsii","Phyteuma","","villarsii","","","End.","W-Alp.","118","4","12",NA
"296","Pinguicula grandiflora","Pinguicula grandiflora NA","Pinguicula grandiflora","Pinguicula","","grandiflora","subsp.    ","rosea","End.","W-Alp.","117","1","5","2"
"297","Pinguicula NA","Pinguicula","Pinguicula arvetii","Pinguicula","","arvetii","","","End.","W-Alp.","117","1","6",NA
"298","Pinguicula poldinii","Pinguicula poldinii NA","Pinguicula poldinii","Pinguicula","","poldinii","","","End.","E-Alp.","117","1","8",NA
"299","Poa cenisia","Poa cenisia","Poa cenisia","Poa","","cenisia","","","Subend.","Alp.","139","6","6",NA
"300","Polygala nicaeensis","Polygala nicaeensis NA","Polygala nicaeensis","Polygala","","nicaeensis","subsp.    ","gariodiana","End.?","W-Alp.","84","1","5","2"
"301","Potentilla NA","Potentilla","Potentilla delphinensis","Potentilla","","delphinensis","","","End.","W-Alp.","63","13","18",NA
"302","Potentilla valderia","Potentilla valderia NA","Potentilla valderia","Potentilla","","valderia","","","End.","W-Alp.","63","13","34",NA
"303","Primula allionii","Primula allionii NA","Primula allionii","Primula","","allionii","","","End.","W-Alp.","60","1","14",NA
"304","Primula clusiana","Primula clusiana NA","Primula clusiana","Primula","","clusiana","","","End.","E-Alp.","60","1","10",NA
"305","Primula cusickiana","Primula cusickiana var. domensis","Primula daonensis","Primula","","daonensis","","","End.","E-Alp.","60","1","24",NA
"306","Primula glaucescens","Primula glaucescens NA","Primula glaucescens","Primula","","glaucescens","","","End.","E-Alp.","60","1","8",NA
"307","Primula glutinosa","Primula glutinosa NA","Primula glutinosa","Primula","","glutinosa","","","End.","E-Alp.","60","1","6",NA
"308","Primula NA","Primula","Primula albenensis","Primula","","albenensis","","","End.","E-Alp.","60","1","21",NA
"309","Primula villosa","Primula villosa NA","Primula villosa","Primula","","villosa","","","End.","Alp.","60","1","25",NA
"310","Prunus brigantina","Prunus brigantina NA","Prunus brigantina","Prunus","","brigantina","","","End.","W-Alp.","63","29","4",NA
"311","Ptarmica atrata","Ptarmica atrata","Achillea atrata","Achillea","","atrata","","","Subend.","E-Alp.","124","31","4",NA
"312","Ptarmica nana","Ptarmica nana","Achillea nana","Achillea","","nana","","","End.","W-Alp.","124","31","3",NA
"313","Pulmonaria carnica","Pulmonaria carnica NA","Pulmonaria carnica","Pulmonaria","","carnica","","","End.","E-Alp.","106","9","4",NA
"314","Pulmonaria NA","Pulmonaria","Pulmonaria kerneri","Pulmonaria","","kerneri","","","End.","E-Alp.","106","9","14",NA
"315","Pulmonaria vallarsae","Pulmonaria vallarsae NA","Pulmonaria vallarsae","Pulmonaria","","vallarsae","","","End.","E-Alp.","106","9","7",NA
"316","Pulsatilla alpina","Pulsatilla alpina NA","Pulsatilla alpina","Pulsatilla","","alpina","subsp.    ","austriaca","End.","E-Alp.","19","14","1","5"
"317","Pulsatilla halleri","Pulsatilla halleri","Pulsatilla halleri","Pulsatilla","","halleri","subsp.    ","halleri","End.","W-Alp.","19","14","6","1"
"318","Ranunculus alpestris","Ranunculus alpestris subsp. traunfellneri","Ranunculus traunfellneri","Ranunculus","","traunfellneri","","","Subend.","E-Alp.","19","17","30",NA
"319","Ranunculus bilobus","Ranunculus bilobus NA","Ranunculus bilobus","Ranunculus","","bilobus","","","End.","E-Alp.","19","17","32",NA
"320","Ranunculus NA","Ranunculus","Ranunculus villarsii","Ranunculus","","villarsii","","","End.","Alp.","19","17","13",NA
"321","Ranunculus venetus","Ranunculus venetus NA","Ranunculus venetus","Ranunculus","","venetus","","","End.","E-Alp.","19","17","12",NA
"322","Rapunculus scheuchzeri","Rapunculus scheuchzeri","Phyteuma scheuchzeri","Phyteuma","","scheuchzeri","subsp.    ","columnae","Subend.","S-Alp./Illyr.","118","4","10","2"
"323","Rhinanthus carinthiacus","Rhinanthus carinthiacus NA","Rhinanthus carinthiacus","Rhinanthus","","carinthiacus","","","End.","E-Alp.","114","28","7",NA
"324","Rhinanthus NA","Rhinanthus","Rhinanthus antiquus","Rhinanthus","","antiquus","","","End.","S-Alp.","114","28","2",NA
"325","Rhizobotrya alpina","Rhizobotrya alpina","Rhizobotrya alpina","Rhizobotrya","","alpina","","","End.","E-Alp.","54","42","1",NA
"326","Rhododendron hirsutum","Rhododendron hirsutum NA","Rhododendron hirsutum","Rhododendron","","hirsutum","","","Subend.","E-Alp.","57","3","3",NA
"327","Rhodothamnus chamaecistus","Rhodothamnus chamaecistus","Rhodothamnus chamaecistus","Rhodothamnus","","chamaecistus","","","Subend.","E-Alp.","57","4","1",NA
"328","Rosa NA","Rosa","Rosa rhaetica","Rosa","","rhaetica","","","End.","E-Alp.","63","6","23",NA
"329","Salix caesia","Salix caesia","Salix caesia","Salix","","caesia","","","End.","Alp.","52","1","34",NA
"330","Salix glaucosericea","Salix glaucosericea NA","Salix glaucosericea","Salix","","glaucosericea","","","End.","Alp.","52","1","11",NA
"331","Salix hegetschweileri","Salix hegetschweileri NA","Salix hegetschweileri","Salix","x","hegetschweileri","","","End.","Alp.","52","1","14",NA
"332","Salix laggeri","Salix laggeri NA","Salix laggeri","Salix","","laggeri","","","End.","Alp.","52","1","20",NA
"333","Salix mielichhoferi","Salix mielichhoferi NA","Salix mielichhoferi","Salix","","mielichhoferi","","","End.","E-Alp.","52","1","17",NA
"334","Salvia pratensis","Salvia pratensis subsp. saccardiana","Salvia saccardiana","Salvia","","saccardiana","","","Subend.","E-Alp.","108","32","6",NA
"335","Sanguisorba NA","Sanguisorba","Sanguisorba dodecandra","Sanguisorba","","dodecandra","","","End.","E-Alp.","63","9","2",NA
"336","Saponaria lutea","Saponaria lutea NA","Saponaria lutea","Saponaria","","lutea","","","End.","W-Alp.","38","26","1",NA
"337","Satureja marginata","Satureja marginata","Micromeria marginata","Micromeria","","marginata","","","End.","W-Alp.","108","22","2",NA
"338","Saussurea alpina","Saussurea alpina","Saussurea alpina","Saussurea","","alpina","subsp.    ","depressa","End.","W-Alp.","124","57","2","3"
"339","Saxifraga aphylla","Saxifraga aphylla NA","Saxifraga aphylla","Saxifraga","","aphylla","","","End.","E-Alp.","62","1","47",NA
"340","Saxifraga biflora","Saxifraga biflora NA","Saxifraga biflora","Saxifraga","","biflora","subsp.    ","biflora","End.","Alp.","62","1","15","1"
"341","Saxifraga burseriana","Saxifraga burseriana NA","Saxifraga burseriana","Saxifraga","","burseriana","","","End.","E-Alp.","62","1","11",NA
"342","Saxifraga cochlearis","Saxifraga cochlearis NA","Saxifraga cochlearis","Saxifraga","","cochlearis","","","Subend.","W-Alp.","62","1","17",NA
"343","Saxifraga diapensioides","Saxifraga diapensioides NA","Saxifraga diapensioides","Saxifraga","","diapensioides","","","End.","W-Alp.","62","1","9",NA
"344","Saxifraga exarata","Saxifraga exarata NA","Saxifraga exarata","Saxifraga","","exarata","subsp.    ","atropurpurea","End.","E-Alp.","62","1","33","6"
"345","Saxifraga hohenwartii","Saxifraga hohenwartii NA","Saxifraga hohenwartii","Saxifraga","","hohenwartii","","","End.","E-Alp.","62","1","46",NA
"346","Saxifraga moschata","Saxifraga moschata","Saxifraga muscoides","Saxifraga","","muscoides","","","End.","Alp.","62","1","42",NA
"347","Saxifraga NA","Saxifraga","Saxifraga arachnoidea","Saxifraga","","arachnoidea","","","End.","E-Alp.","62","1","37",NA
"348","Saxifraga oppositifolia","Saxifraga oppositifolia","Saxifraga oppositifolia","Saxifraga","","oppositifolia","subsp.    ","blepharophylla","End.","E-Alp.","62","1","13","3"
"349","Saxifraga pedemontana","Saxifraga pedemontana NA","Saxifraga pedemontana","Saxifraga","","pedemontana","","","End.","W-Alp.","62","1","34",NA
"350","Saxifraga retusa","Saxifraga retusa NA","Saxifraga retusa","Saxifraga","","retusa","subsp.    ","augustana","End.","W-Alp.","62","1","14","2"
"351","Saxifraga seguieri","Saxifraga seguieri NA","Saxifraga seguieri","Saxifraga","","seguieri","","","End.","Alp.","62","1","41",NA
"352","Saxifraga tenella","Saxifraga tenella NA","Saxifraga tenella","Saxifraga","","tenella","","","Subend.","E-Alp.","62","1","48",NA
"353","Scabiosa NA","Scabiosa","Scabiosa mollissima","Scabiosa","","mollissima","","","Subend.","W-Alp.","123","6","6",NA
"354","Sedum alsinefolium","Sedum alsinefolium NA","Sedum alsinefolium","Sedum","","alsinefolium","","","End.","W-Alp.","61","4","15",NA
"355","Sedum fragrans","Sedum fragrans NA","Sedum fragrans","Sedum","","fragrans","","","Subend.","W-Alp.","61","4","16",NA
"356","Sempervivum calcareum","Sempervivum calcareum NA","Sempervivum calcareum","Sempervivum","","calcareum","","","Subend.","W-Alp.","61","2","8",NA
"357","Sempervivum dolomiticum","Sempervivum dolomiticum NA","Sempervivum dolomiticum","Sempervivum","","dolomiticum","","","End.","E-Alp.","61","2","6",NA
"358","Sempervivum montanum","Sempervivum montanum NA","Sempervivum montanum","Sempervivum","","montanum","subsp.    ","stiriacum","End.","E-Alp.","61","2","5","3"
"359","Sempervivum NA","Sempervivum","Sempervivum grandiflorum","Sempervivum","","grandiflorum","","","End.","W-Alp.","61","2","2",NA
"360","Senecio fontanicola","Senecio fontanicola NA","Senecio fontanicola","Senecio","","fontanicola","","","Subend.","E-Alp.","124","48","11",NA
"361","Senecio incanus","Senecio incanus NA","Senecio incanus","Senecio","","incanus","subsp.    ","insubricus","End.","E-Alp.","124","48","2","3"
"362","Senecio NA","Senecio","Senecio persoonii","Senecio","","persoonii","","","End.","W-Alp.","124","48","3",NA
"363","Senecio procumbens","Senecio procumbens","Senecio halleri","Senecio","","halleri","","","End.","W-Alp.","124","48","4",NA
"364","Seseli annuum","Seseli annuum NA","Seseli annuum","Seseli","","annuum","subsp.    ","carvifolium","End.?","W-Alp.","97","20","8","2"
"365","Sesleria ovata","Sesleria ovata NA","Sesleria ovata","Sesleria","","ovata","","","End.","E-Alp.","139","16","1",NA
"366","Sesleriella sphaerocephala","Sesleriella sphaerocephala","Sesleria sphaerocephala","Sesleria","","sphaerocephala","","","End.","E-Alp.","139","16","2",NA
"367","Silene campanula","Silene campanula NA","Silene campanula","Silene","","campanula","","","End.","W-Alp.","38","22","18",NA
"368","Silene cordifolia","Silene cordifolia NA","Silene cordifolia","Silene","","cordifolia","","","End.","W-Alp.","38","22","14",NA
"369","Silene petrarchae","Silene petrarchae NA","Silene petrarchae","Silene","","petrarchae","","","End.","W-Alp.","38","22","17",NA
"370","Silene pudibunda","Silene pudibunda NA","Silene pudibunda","Silene","","pudibunda","","","End.?","E-Alp.","38","22","25",NA
"371","Silene vallesia","Silene vallesia NA","Silene vallesia","Silene","","vallesia","","","End.","W-Alp.","38","22","16",NA
"372","Soldanella austriaca","Soldanella austriaca NA","Soldanella austriaca","Soldanella","","austriaca","","","End.","E-Alp.","60","4","3",NA
"373","Soldanella major","Soldanella major NA","Soldanella major","Soldanella","","major","","","End.","E-Alp.","60","4","5",NA
"374","Soldanella minima","Soldanella minima NA","Soldanella minima","Soldanella","","minima","","","Subend.","E-Alp.","60","4","2",NA
"375","Somerauera cherlerioides","Somerauera cherlerioides","Minuartia cherlerioides","Minuartia","","cherlerioides","subsp.    ","cherlerioides","End.","E-Alp.","38","3","11","1"
"376","Spiesia triflora","Spiesia triflora","Oxytropis triflora","Oxytropis","","triflora","","","End.","E-Alp.","64","18","7",NA
"377","Spiraea decumbens","Spiraea decumbens NA","Spiraea decumbens","Spiraea","","decumbens","subsp.    ","decumbens","End.","E-Alp.","63","2","4","1"
"378","Stemmacantha NA","Stemmacantha","Stemmacantha heleniifolia","Stemmacantha","","heleniifolia","subsp.    ","bicknellii","End.","W-Alp.","124","67","2","2"
"379","Stipa pennata","Stipa pennata subsp. pennata","Stipa styriaca","Stipa","","styriaca","","","End.","E-Alp.","139","56","4",NA
"380","Syntoma comosum","Syntoma comosum","Physoplexis comosa","Physoplexis","","comosa","","","End.","E-Alp.","118","5","1",NA
"381","Taraxacum montanum","Taraxacum montanum","Leontodon montanus","Leontodon","","montanus","subsp.    ","montaniformis","End.","E-Alp.","124","83","3","2"
"382","Taraxacum NA","Taraxacum","Taraxacum handelii","Taraxacum","","handelii","","","End.","E-Alp.","124","93","1",NA
"383","Taraxacum reichenbachii","Taraxacum reichenbachii NA","Taraxacum reichenbachii","Taraxacum","","reichenbachii","","","End.","E-Alp.","124","93","2",NA
"384","Telekia speciosissima","Telekia speciosissima NA","Telekia speciosissima","Telekia","","speciosissima","","","End.","E-Alp.","124","20","2",NA
"385","Tephroseris NA","Tephroseris","Tephroseris balbisiana","Tephroseris","","balbisiana","","","End.","W-Alp.","124","49","5",NA
"386","Thlaspi alpestre","Thlaspi alpestre NA","Thlaspi alpestre","Thlaspi","","alpestre","","","End.","E-Alp.","54","50","11",NA
"387","Thymus praecox","Thymus praecox subsp. widderi","Thymus widderi","Thymus","","widderi","","","End.","E-Alp.","108","25","8",NA
"388","Tithymalus saxatilis","Tithymalus saxatilis","Euphorbia saxatilis","Euphorbia","","saxatilis","","","End.","E-Alp.","80","3","32",NA
"389","Trifolium saxatile","Trifolium saxatile NA","Trifolium saxatile","Trifolium","","saxatile","","","End.","W-Alp.","64","33","21",NA
"390","Trisetum cavanillesii","Trisetum cavanillesii NA","Trisetum cavanillesii","Trisetum","","cavanillesii","","","End.","W-Alp.","139","38","6",NA
"391","Trisetum phleoides","Trisetum phleoides","Koeleria hirsuta","Koeleria","","hirsuta","","","End.","Alp.","139","36","3",NA
"392","Valeriana celtica","Valeriana celtica NA","Valeriana celtica","Valeriana","","celtica","subsp.    ","celtica","End.","W-Alp.","122","2","14","1"
"393","Valeriana elongata","Valeriana elongata NA","Valeriana elongata","Valeriana","","elongata","","","Subend.","E-Alp.","122","2","15",NA
"394","Valeriana NA","Valeriana","Valeriana versifolia","Valeriana","","versifolia","","","End.?","Alp.?","122","2","5",NA
"395","Veronica allionii","Veronica allionii NA","Veronica allionii","Veronica","","allionii","","","End.","W-Alp.","114","17","14",NA
"396","Veronica chamaedrys","Veronica chamaedrys","Veronica chamaedrys","Veronica","","chamaedrys","subsp.    ","micans","End.?","E-Alp.","114","17","15","3"
"397","Viola calcarata","Viola calcarata NA","Viola calcarata","Viola","","calcarata","subsp.    ","calcarata","Subend.","W-Alp.","49","1","27","1"
"398","Viola NA","Viola","Viola cenisia","Viola","","cenisia","","","End.","W-Alp.","49","1","22",NA
"399","Viola pinnata","Viola pinnata NA","Viola pinnata","Viola","","pinnata","","","Subend.","Alp.","49","1","19",NA
"400","Wahlenbergia elatines","Wahlenbergia elatines","Campanula elatines","Campanula","","elatines","","","End.","W-Alp.","118","1","22",NA
"401","Zahlbrucknera paradoxa","Zahlbrucknera paradoxa","Saxifraga paradoxa","Saxifraga","","paradoxa","","","End.","E-Alp.","62","1","38",NA
