"","taxized"
"1","Achillea millefolium"
"2","Acinos alpinus"
"3","Agrestis alpina"
"4","Agrestis rupestris"
"5","Agrostis agrostiflora"
"6","Agrostis capillaris"
"7","Alchemilla alpina"
"8","Alchemilla baltica"
"9","Alchemilla fissa"
"10","Alchemilla flabellata"
"11","Alchemilla glabra"
"12","Alchemilla glaucescens"
"13","Alchemilla pentaphyllea"
"14","Alchemilla transiens"
"15","Alchemilla xanthochlora"
"16","Alopecurus magellanicus"
"17","Alsinanthus biflorus"
"18","Androsace obtusifolia"
"19","Androsace vandellii"
"20","Androsace vitaliana"
"21","Anemonoides baldensis"
"22","Antennaria carpatica"
"23","Antennaria dioica"
"24","Anthoxanthum odoratum"
"25","Arabis alpina"
"26","Aretia pubescens"
"27","Armeria alpina"
"28","Artemisia genipi"
"29","Artemisia umbelliformis"
"30","Asplenium adiantum-nigrum"
"31","Asplenium septentrionale"
"32","Asplenium trichomanes"
"33","Asplenium viride"
"34","Aster alpinus"
"35","Astragalus alpinus"
"36","Astragalus australis"
"37","Astrantia major"
"38","Athamanta cretensis"
"39","Atocion rupestre"
"40","Bartsia alpina"
"41","Berardia subacaulis"
"42","Bistorta vivipara"
"43","Botrychium lunaria"
"44","Bupleurum stellatum"
"45","Cacalia alliariae"
"46","Cacalia alpina"
"47","Cacalia leucophylla"
"48","Calathiana brachyphylla"
"49","Callianthemum coriandrifolium"
"50","Campanula cenisia"
"51","Campanula linifolia"
"52","Campanula rhomboidalis"
"53","Campanula rotundifolia"
"54","Capsella bursa-pastoris"
"55","Cardamine bellidifolia"
"56","Cardamine resedifolia"
"57","Carduus medius"
"58","Carex atrata"
"59","Carex bicolor"
"60","Carex digitata"
"61","Carex ferruginea"
"62","Carex foetida"
"63","Carex frigida"
"64","Carex rupestris"
"65","Cassida alpina"
"66","Centaurea uniflora"
"67","Cerastium alpinum"
"68","Cerastium arvense"
"69","Cerastium cerastoides"
"70","Cerastium latifolium"
"71","Cerastium pedunculatum"
"72","Cerastium uniflorum"
"73","Chamerion dodonaei"
"74","Chenopodium bonus-henricus"
"75","Cirsium spinosissimum"
"76","Cotoneaster integerrimus"
"77","Crepis pygmaea"
"78","Cryptogramma crispa"
"79","Cystopteris fragilis"
"80","Daphne alpina"
"81","Deschampsia flexuosa"
"82","Doronicum grandiflorum"
"83","Draba aizoides"
"84","Draba dubia"
"85","Draba fladnizensis"
"86","Draba siliquosa"
"87","Dryas octopetala"
"88","Dryopteris filix-mas"
"89","Empetrum nigrum"
"90","Epilobium alsinifolium"
"91","Epilobium anagallidifolium"
"92","Erigeron acer"
"93","Erigeron gaudinii"
"94","Erigeron glabratus"
"95","Erigeron uniflorus"
"96","Eritrichium nanum"
"97","Euphorbia cyparissias"
"98","Euphrasia alpina"
"99","Euphrasia drosocalyx"
"100","Euphrasia minima"
"101","Euphrasia salisburgensis"
"102","Euphrasia stricta"
"103","Festuca acuminata"
"104","Festuca chalcophaea"
"105","Festuca halleri"
"106","Festuca laevigata"
"107","Festuca melanopsis"
"108","Festuca rubra"
"109","Galium pseudohelveticum"
"110","Galium pumilum"
"111","Gamochaeta norvegica"
"112","Gentiana acaulis"
"113","Gentiana nivalis"
"114","Gentiana verna"
"115","Gentianella campestris"
"116","Geranium rivulare"
"117","Geranium sylvaticum"
"118","Geum reptans"
"119","Geum urbanum"
"120","Globularia cordifolia"
"121","Gnaphalium supinum"
"122","Gymnocarpium robertianum"
"123","Gypsophila repens"
"124","Helictotrichon sedenense"
"125","Helictotrichon versicolor"
"126","Herniaria alpina"
"127","Hieracium alpinum"
"128","Hieracium antarcticum"
"129","Hieracium piliferum"
"130","Hieracium pilosella"
"131","Hieracium villosum"
"132","Homogyne alpina"
"133","Hornungia alpina"
"134","Huperzia selago"
"135","Hypericum richeri"
"136","Imperatoria ostruthium"
"137","Juncus trifidus"
"138","Juncus triglumis"
"139","Juniperus sabina"
"140","Juniperus sibirica"
"141","Kobresia curvula"
"142","Kobresia myosuroides"
"143","Leontodon autumnalis"
"144","Leontodon pyrenaicus"
"145","Leontopodium brachyactis"
"146","Leucanthemopsis alpina"
"147","Linaria alpina"
"148","Lloydia serotina"
"149","Lotus alpinus"
"150","Luzula alpinopilosa"
"151","Luzula lutea"
"152","Luzula maxima"
"153","Luzula nutans"
"154","Luzula spicata"
"155","Micranthes stellaris"
"156","Minuartia laricifolia"
"157","Minuartia oreina"
"158","Minuartia sedoides"
"159","Minuartia verna"
"160","Murbeckiella pinnatifida"
"161","Myosotis alpestris"
"162","Myosotis decumbens"
"163","Nardus stricta"
"164","Noccaea rotundifolia"
"165","Oxyria digyna"
"166","Oxytropis campestris"
"167","Oxytropis helvetica"
"168","Papaver aurantiacum"
"169","Parageum montanum"
"170","Paronychia polygonifolia"
"171","Pedicularis kerneri"
"172","Pedicularis rostratospicata"
"173","Pedicularis tuberosa"
"174","Pedicularis verticillata"
"175","Phleum alpinum"
"176","Phyteuma michelii"
"177","Pilosella peleteriana"
"178","Pinguicula vulgaris"
"179","Plantago neumannii"
"180","Poa alpina"
"181","Poa annua"
"182","Poa cenisia"
"183","Poa laxa"
"184","Poa supina"
"185","Polygala alpina"
"186","Polygonum aviculare"
"187","Polystichum lonchitis"
"188","Potentilla aurea"
"189","Potentilla crantzii"
"190","Potentilla frigida"
"191","Potentilla grandiflora"
"192","Primula hirsuta"
"193","Primula pedemontana"
"194","Ptarmica nana"
"195","Pulsatilla vernalis"
"196","Ranunculus glacialis"
"197","Ranunculus grenierianus"
"198","Ranunculus montanus"
"199","Rapunculus hemisphaericus"
"200","Rapunculus orbicularis"
"201","Rhododendron ferrugineum"
"202","Rubus idaeus"
"203","Rubus saxatilis"
"204","Rumex scutatus"
"205","Sagina glabra"
"206","Sagina saginoides"
"207","Salix appendiculata"
"208","Salix breviserrata"
"209","Salix glaucosericea"
"210","Salix hastata"
"211","Salix herbacea"
"212","Salix laggeri"
"213","Salix reticulata"
"214","Salix retusa"
"215","Saussurea alpina"
"216","Saxifraga aizoides"
"217","Saxifraga androsacea"
"218","Saxifraga aspera"
"219","Saxifraga biflora"
"220","Saxifraga bryoides"
"221","Saxifraga exarata"
"222","Saxifraga oppositifolia"
"223","Saxifraga paniculata"
"224","Saxifraga retusa"
"225","Sedella atrata"
"226","Sedum alpestre"
"227","Sedum anacampseros"
"228","Sempervivum arachnoideum"
"229","Sempervivum montanum"
"230","Senecio doronicum"
"231","Senecio incanus"
"232","Sesleria caerulea"
"233","Sibbaldia procumbens"
"234","Silene acaulis"
"235","Silene vulgaris"
"236","Soldanella alpina"
"237","Solidago virgaurea"
"238","Taraxacum alpinum"
"239","Taraxacum dissectum"
"240","Taraxacum montanum"
"241","Taraxacum officinale"
"242","Thymus praecox"
"243","Thymus serpyllum"
"244","Tolpis staticifolia"
"245","Trifolium alpinum"
"246","Trifolium badium"
"247","Trifolium pallescens"
"248","Trifolium pratense"
"249","Trifolium repens"
"250","Trifolium saxatile"
"251","Trifolium thalii"
"252","Trimorpha alpina"
"253","Trisetaria distichophylla"
"254","Trisetum flavescens"
"255","Trisetum spicatum"
"256","Urtica dioica"
"257","Vaccinium myrtillus"
"258","Vaccinium uliginosum"
"259","Valeriana montana"
"260","Veronica allionii"
"261","Veronica alpina"
"262","Veronica aphylla"
"263","Veronica bellidioides"
"264","Veronica fruticans"
"265","Veronica serpyllifolia"
"266","Viola calcarata"
"267","Viola rupestris"
"268","Vulpia quadriflora"
"269","Zz Lichens"
"270","Abies alba"
"271","Acer campestre"
"272","Acer monspessulanum"
"273","Acer opalus"
"274","Acer platanoides"
"275","Acer pseudoplatanus"
"276","Achillea distans"
"277","Achillea nobilis"
"278","Achillea roseo"
"279","Achnatherum calamagrostis"
"280","Aconitum anthora"
"281","Aconitum laeve"
"282","Aconitum variegatum"
"283","Actaea spicata"
"284","Adenostyles alliariae"
"285","Adenostyles alpina"
"286","Adenostyles leucophylla"
"287","Adonis aestivalis"
"288","Adoxa moschatellina"
"289","Aegopodium podagraria"
"290","Aethionema saxatile"
"291","Aethusa cynapium"
"292","Agrimonia eupatoria"
"293","Agrostis stolonifera"
"294","Ajuga chamaepitys"
"295","Ajuga genevensis"
"296","Ajuga pyramidalis"
"297","Ajuga reptans"
"298","Alchemilla conjuncta"
"299","Alchemilla connivens"
"300","Alchemilla gracilis"
"301","Alchemilla incisa"
"302","Alchemilla monticola"
"303","Alchemilla plicata"
"304","Alchemilla saxatilis"
"305","Alchemilla subcrenata"
"306","Alisma plantago-aquatica"
"307","Alliaria petiolata"
"308","Allium lineare"
"309","Allium oleraceum"
"310","Allium schoenoprasum"
"311","Allium scorodoprasum"
"312","Allium senescens"
"313","Allium tauricum"
"314","Allium ursinum"
"315","Allium victorialis"
"316","Alnus glutinosa"
"317","Alnus incana"
"318","Alnus viridis"
"319","Alopecurus myosuroides"
"320","Alyssoides utriculata"
"321","Alyssum alpestre"
"322","Alyssum alyssoides"
"323","Amelanchier ovalis"
"324","Amygdalus communis"
"325","Androrchis pallens"
"326","Androsace carnea"
"327","Androsace helvetica"
"328","Androsace maxima"
"329","Anemone narcissiflora"
"330","Anemonoides ranunculoides"
"331","Angelica sylvestris"
"332","Anthericum liliago"
"333","Anthriscus sylvestris"
"334","Anthyllis montana"
"335","Anthyllis vulneraria"
"336","Antirrhinum majus"
"337","Aquilegia vulgaris"
"338","Arabidopsis thaliana"
"339","Arabis allionii"
"340","Arabis auriculata"
"341","Arabis caerulea"
"342","Arabis ciliata"
"343","Arabis collina"
"344","Arabis hirsuta"
"345","Arabis nova"
"346","Arabis sagittata"
"347","Arabis soyeri"
"348","Arctium minus"
"349","Arctium nemorosum"
"350","Arctostaphylos uva-ursi"
"351","Arenaria gothica"
"352","Arenaria serpyllifolia"
"353","Armeria arenaria"
"354","Arnica montana"
"355","Arrhenatherum elatius"
"356","Arrhenatherum parlatorei"
"357","Artemisia absinthium"
"358","Artemisia alba"
"359","Artemisia atrata"
"360","Artemisia campestris"
"361","Artemisia vulgaris"
"362","Arum maculatum"
"363","Aruncus dioicus"
"364","Asarum europaeum"
"365","Asparagus tenuifolius"
"366","Asperugo procumbens"
"367","Asperula cynanchica"
"368","Asphodelus albus"
"369","Asphodelus macrocarpus"
"370","Asplenium ceterach"
"371","Asplenium exiguum"
"372","Asplenium ruta-muraria"
"373","Astragalus austriacus"
"374","Astragalus cicer"
"375","Astragalus danicus"
"376","Astragalus depressus"
"377","Astragalus glycyphyllos"
"378","Astragalus monspessulanus"
"379","Astragalus onobrychis"
"380","Astragalus penduliflorus"
"381","Astragalus sempervirens"
"382","Astragalus stella"
"383","Astragalus vesicarius"
"384","Athyrium alpestre"
"385","Athyrium filix-femina"
"386","Atragene alpina"
"387","Atropa belladonna"
"388","Barbarea intermedia"
"389","Barbarea vulgaris"
"390","Bellardiochloa variegata"
"391","Bellidiastrum michelii"
"392","Berberis vulgaris"
"393","Betonica officinalis"
"394","Betula pendula"
"395","Betula pubescens"
"396","Biscutella laevigata"
"397","Bistorta officinalis"
"398","Bitteria digitata"
"399","Blackstonia perfoliata"
"400","Blechnum spicant"
"401","Blysmus compressus"
"402","Bombycilaena erecta"
"403","Bothriochloa ischaemum"
"404","Brachypodium pinnatum"
"405","Brachypodium rupestre"
"406","Brachypodium sylvaticum"
"407","Brassica repanda"
"408","Briza media"
"409","Bromus benekenii"
"410","Bromus erectus"
"411","Bromus hordeaceus"
"412","Bromus inermis"
"413","Bromus squarrosus"
"414","Bromus sterilis"
"415","Bromus tectorum"
"416","Bryonia cretica"
"417","Buddleja davidii"
"418","Buglossoides arvensis"
"419","Buglossoides incrassata"
"420","Bunias orientalis"
"421","Bunium bulbocastanum"
"422","Buphthalmum salicifolium"
"423","Bupleurum falcatum"
"424","Bupleurum petraeum"
"425","Bupleurum ranunculoides"
"426","Bupleurum rotundifolium"
"427","Buxus sempervirens"
"428","Calamagrostis epigejos"
"429","Calamagrostis pseudophragmites"
"430","Calamagrostis schraderiana"
"431","Calamagrostis varia"
"432","Calamagrostis villosa"
"433","Calathiana bavarica"
"434","Calathiana orbicularis"
"435","Calathiana verna"
"436","Calluna vulgaris"
"437","Caltha palustris"
"438","Calystegia sepium"
"439","Camelina microcarpa"
"440","Campanula alpestris"
"441","Campanula glomerata"
"442","Campanula latifolia"
"443","Campanula patula"
"444","Campanula persicifolia"
"445","Campanula rapunculoides"
"446","Campanula spicata"
"447","Campanula trachelium"
"448","Cardamine alpina"
"449","Cardamine heptaphylla"
"450","Cardamine hirsuta"
"451","Cardamine impatiens"
"452","Cardamine pentaphyllos"
"453","Carduus acanthoides"
"454","Carduus carlinifolius"
"455","Carduus defloratus"
"456","Carduus nutans"
"457","Carduus personata"
"458","Carex acutiformis"
"459","Carex alba"
"460","Carex capillaris"
"461","Carex caryophyllea"
"462","Carex cespitosa"
"463","Carex chillanensis"
"464","Carex davalliana"
"465","Carex echinata"
"466","Carex flacca"
"467","Carex flava"
"468","Carex hirta"
"469","Carex hordeistichos"
"470","Carex hostiana"
"471","Carex humilis"
"472","Carex liparocarpos"
"473","Carex macloviana"
"474","Carex montana"
"475","Carex muricata"
"476","Carex pallescens"
"477","Carex panicea"
"478","Carex planostachys"
"479","Carex rostrata"
"480","Carex spicata"
"481","Carex sylvatica"
"482","Carex vesicaria"
"483","Carex viridula"
"484","Carex vulpina"
"485","Carlina acanthifolia"
"486","Carlina acaulis"
"487","Carlina biebersteinii"
"488","Carlina vulgaris"
"489","Carum carvi"
"490","Catananche caerulea"
"491","Caucalis platycarpos"
"492","Cedrus atlantica"
"493","Centaurea jacea"
"494","Centaurea scabiosa"
"495","Centaurea solstitialis"
"496","Centaurea stoebe"
"497","Centaurium erythraea"
"498","Centranthus angustifolius"
"499","Centranthus calcitrapae"
"500","Cephalanthera damasonium"
"501","Cephalanthera longifolia"
"502","Cephalaria alpina"
"503","Cerastium fontanum"
"504","Cerastium pumilum"
"505","Cerastium semidecandrum"
"506","Cerasus avium"
"507","Cerinthe glabra"
"508","Cerinthe minor"
"509","Chaenorhinum minus"
"510","Chaenorhinum rubrifolium"
"511","Chaerophyllum aureum"
"512","Chaerophyllum temulum"
"513","Chaerophyllum villarsii"
"514","Chamaedrys montana"
"515","Chamaenerion montanum"
"516","Chamorchis alpina"
"517","Chara Linnaeus"
"518","Chelidonium majus"
"519","Chenopodium album"
"520","Chondrilla juncea"
"521","Chrysosplenium alternifolium"
"522","Cichorium intybus"
"523","Cirsium acaule"
"524","Cirsium arvense"
"525","Cirsium eriophorum"
"526","Cirsium monspessulanum"
"527","Cirsium palustre"
"528","Cirsium vulgare"
"529","Cladium mariscus"
"530","Clematis vitalba"
"531","Clinopodium acinos"
"532","Clinopodium alpinum"
"533","Clinopodium grandiflorum"
"534","Clinopodium nepeta"
"535","Clinopodium vulgare"
"536","Coincya monensis"
"537","Coincya richeri"
"538","Colchicum alpinum"
"539","Colchicum autumnale"
"540","Colutea arborescens"
"541","ComplÂŽment flore"
"542","Consolida regalis"
"543","Convallaria majalis"
"544","Convolvulus arvensis"
"545","Conyza canadensis"
"546","Corallorhiza trifida"
"547","Coristospermum ferulaceum"
"548","Cormus domestica"
"549","Coronilla minima"
"550","Coronilla vaginalis"
"551","Corydalis intermedia"
"552","Corydalis solida"
"553","Corylus avellana"
"554","Cotoneaster tomentosus"
"555","Crataegus laevigata"
"556","Crataegus monogyna"
"557","Crepis aurea"
"558","Crepis biennis"
"559","Crepis conyzifolia"
"560","Crepis foetida"
"561","Crepis nicaeensis"
"562","Crepis paludosa"
"563","Crepis pontana"
"564","Crepis pyrenaica"
"565","Crepis vesicaria"
"566","Crocus vernus"
"567","Cruciata glabra"
"568","Cruciata laevipes"
"569","Crupina vulgaris"
"570","Cucubalus baccifer"
"571","Cuscuta epilinum"
"572","Cuscuta epithymum"
"573","Cuscuta europaea"
"574","Cuscuta planiflora"
"575","Cyanus montanus"
"576","Cyanus segetum"
"577","Cynoglossum officinale"
"578","Cynosurus cristatus"
"579","Cypripedium calceolus"
"580","Cystopteris dickieana"
"581","Cytisophyllum sessilifolium"
"582","Dactylis glomerata"
"583","Dactylorhiza fuchsii"
"584","Dactylorhiza incarnata"
"585","Dactylorhiza lapponica"
"586","Dactylorhiza maculata"
"587","Dactylorhiza majalis"
"588","Dactylorhiza sambucina"
"589","Dactylorhiza viridis"
"590","Danthonia decumbens"
"591","Daphne cneorum"
"592","Daphne laureola"
"593","Daphne mezereum"
"594","Dasistepha asclepiadea"
"595","Daucus carota"
"596","Deschampsia cespitosa"
"597","Descurainia sophia"
"598","Descurainia tanacetifolia"
"599","Dianthus carthusianorum"
"600","Dianthus caryophyllus"
"601","Dianthus deltoides"
"602","Dianthus hyssopifolius"
"603","Dianthus pavonius"
"604","Diaphyllum longifolium"
"605","Digitalis grandiflora"
"606","Digitalis lutea"
"607","Dioscorea communis"
"608","Dittrichia graveolens"
"609","Doronicum pardalianches"
"610","Dorycnium pentaphyllum"
"611","Draba verna"
"612","Dracocephalum ruyschiana"
"613","Drosera rotundifolia"
"614","Dryopteris dilatata"
"615","Dryopteris expansa"
"616","Dryopteris mindshelkensis"
"617","Echinops ritro"
"618","Echinops sphaerocephalus"
"619","Echium vulgare"
"620","Ecologie verticale"
"621","Edritria ferruginea"
"622","Eleocharis macrostachya"
"623","Eleocharis mamillata"
"624","Eleocharis quinqueflora"
"625","Eleocharis uniglumis"
"626","Elymus caninus"
"627","Elymus repens"
"628","Elytrigia intermedia"
"629","Epilobium alpestre"
"630","Epilobium angustifolium"
"631","Epilobium collinum"
"632","Epilobium hirsutum"
"633","Epilobium palustre"
"634","Epilobium parviflorum"
"635","Epipactis atrorubens"
"636","Epipactis helleborine"
"637","Epipactis palustris"
"638","Epipogium aphyllum"
"639","Equisetum arvense"
"640","Equisetum fluviatile"
"641","Equisetum hyemale"
"642","Equisetum palustre"
"643","Equisetum variegatum"
"644","Erigeron acris"
"645","Erigeron annuus"
"646","Erigeron neglectus"
"647","Erinus alpinus"
"648","Eriophorum angustifolium"
"649","Eriophorum latifolium"
"650","Eriophorum scheuchzeri"
"651","Erodium cicutarium"
"652","Erucastrum nasturtiifolium"
"653","Eryngium alpinum"
"654","Eryngium campestre"
"655","Erysimum jugicola"
"656","Erysimum nevadense"
"657","Erysimum ochroleucum"
"658","Erysimum rhaeticum"
"659","Erysimum virgatum"
"660","Euonymus europaeus"
"661","Euonymus latifolius"
"662","Eupatorium cannabinum"
"663","Euphorbia brittingeri"
"664","Euphorbia exigua"
"665","Euphorbia helioscopia"
"666","Euphrasia hirtella"
"667","Euphrasia kerneri"
"668","Euphrasia pectinata"
"669","Fagus sylvatica"
"670","Fallopia convolvulus"
"671","Fallopia japonica"
"672","Festuca altissima"
"673","Festuca arundinacea"
"674","Festuca flavescens"
"675","Festuca gigantea"
"676","Festuca heterophylla"
"677","Festuca ovina"
"678","Festuca pratensis"
"679","Festuca valesiaca"
"680","Filago arvensis"
"681","Filipendula ulmaria"
"682","Filipendula vulgaris"
"683","Fourraea alpina"
"684","Fragaria vesca"
"685","Fraxinus excelsior"
"686","Fumana procumbens"
"687","Gagea liotardii"
