"","psv","psr","mpd","pd","pd.ivs","mntd","colless","gamma","Delta","DeltaStar","LambdaPlus","DeltaPlus","S.DeltaPlus","eigen.sum","Eed","Hed"
"aiguille.du.plat.de.la.selle",0.239504050173272,7.18512150519815,283.331599064368,2351.77056,-981.490350752746,78.3539100333333,49,-0.536544031451894,283.331599064368,283.331599064368,11486.8284720061,283.331599064368,8499.94797193103,0.0015713880422098,14.5188489668651,49.38147109085
"barre.des.Ecrins",0.262234248008701,11.2760726643742,310.221262403101,3293.901972,-359.996968685886,83.5930521395349,131,2.30885462394001,310.221262403101,310.221262403101,37428.3980414967,310.221262403101,13339.5142833333,0.00120546411328172,10.1504668666907,38.1779371533408
"brèche.de.valsenestre",0.23918178418095,3.3485449785333,282.950360714286,1655.254096,-1283.37539329656,108.031052714286,21,-1.12694021293944,282.950360714286,282.950360714286,9761.356814944,282.950360714286,3961.30505,0.00143006803588515,24.2896610448392,64.1018080142532
"brèche.du.râteau",0.229824973697787,7.58422413202698,271.88131992803,2468.327772,-938.926530275779,64.9803968787879,79,0.0540826489812173,271.88131992803,271.88131992803,8628.01840506443,271.88131992803,8972.083557625,0.00108801553710803,13.6162247628802,47.6092328420379
"EcrinsNP",0.271889728876595,296.903583933242,321.643628089668,28484.256986,-1042.66452390689,28.480519242674,13314,16.7578620328642,321.643628089668,321.643628089668,42435.9503249873,321.643628089668,351234.841873917,0.000911172929765646,0.940218933196646,6.57755179237415
"l.olan",0.292743906233028,19.9065856238459,346.313972614574,5640.756334,1370.24579728882,96.7967892941176,331,1.80759233261434,346.313972614574,346.313972614574,61315.3577954205,346.313972614574,23549.350137791,0.000856944362060711,5.9289288633831,25.017161022486
"la.meije",0.219099357540577,8.10667622900134,259.192991891892,2577.867703,-928.044454639825,69.9715284864865,119,0.0445739883671495,259.192991891892,259.192991891892,8573.75625556205,259.192991891892,9590.1407,0.000908604844908398,12.7577506163507,46.0671902256285
"le.râteau",0.337656804695155,25.3242603521366,399.445614254414,5722.205602,1279.04381840174,92.67220284,361,3.34977270806633,399.445614254414,399.445614254414,93321.9171747131,399.445614254414,29958.4210690811,0.00119336516771641,5.7284723467829,24.7326112659566
"le.sirac",0.289994127043081,23.4895242904896,343.061003340741,5289.419434,698.270867355672,70.9750507407407,276,3.52307971820561,343.061003340741,343.061003340741,64223.1581121226,343.061003340741,27787.9412706,0.00105252143879461,5.99203249443633,26.3316821299455
"les.rouies",0.24319961059698,10.7007828662671,287.703421001057,3546.092387,-132.471017526905,97.8533578863636,171,1.43586606746695,287.703421001057,287.703421001057,35951.6910231553,287.703421001057,12658.9505240465,0.000738217135067886,9.52829590421748,36.0568785896456
"mont.pelvoux",0.401353648625623,6.82301202663559,474.798530397059,2990.336162,-22.2867188195957,241.380681235294,52,0.578201384153284,474.798530397059,474.798530397059,100810.077470817,474.798530397059,8071.57501675,0.00104451146188612,14.5171919901286,41.1303020646585
"occidentale.l.ailefroide",0.272778651720017,8.45613820332052,322.695217544086,3077.497422,-280.427952593756,115.701067741935,105,1.72780243970066,322.695217544086,322.695217544086,58235.0568820516,322.695217544086,10003.5517438667,0.000942207285324258,11.7158252068795,40.2319938504086
"persistant",0.277293181277991,47.6944271798144,328.035874189446,7766.469881,930.855104823632,50.3605823604651,924,6.22768931931431,328.035874189447,328.035874189447,54827.2799289296,328.035874189447,56422.1703605848,0.000978444007306854,3.75827280841601,19.3456885236796
"pic.du.clapier.du.peyron",0.230628036808738,10.3782616563932,272.831337969697,2971.961787,-731.266081367916,64.1152299333333,133,0.207670868401964,272.831337969697,272.831337969697,8798.50499418462,272.831337969697,12277.4102086364,0.0010828804712248,10.8560640890663,41.3253719543912
"pic.ouest..le.rateau.",0.292795901812331,7.6126934471206,346.375483018462,2674.109305,-560.493750388699,113.816847730769,73,2.19493065525815,346.375483018462,346.375483018462,53801.5826985343,346.375483018462,9005.76255848,0.0013603443153238,13.7505543104044,44.8006333946049
"pointe.brevoort",0.205767349434242,2.67497554264515,243.421320410256,1568.831444,-1345.13358145555,120.632872076923,31,-0.642407497150559,243.421320410256,243.421320410256,6689.51469708545,243.421320410256,3164.47716533333,0.000530928043237698,25.9876312194894,66.6569579983766
"pointes.de.burlan",0.225018599518497,7.6506323836289,266.195413188948,2681.564033,-750.35473311679,81.3466535,85,-1.03287083562354,266.195413188948,266.195413188948,7763.00568544793,266.195413188948,9050.64404842424,0.0009436047712465,12.677584321782,44.7057328998248
"rocher.de.la.selle",0.272783043332112,42.8269378031415,322.700412802711,8039.987005,1574.3391864388,59.3738292929936,924,5.7168232550621,322.700412802711,322.700412802711,47266.8087718924,322.700412802711,50663.9648100256,0.00102375654727361,3.72024757393218,18.8104861905518
"signal.du.lauvitel",0.302449457696181,26.3131028195677,357.795571412991,5669.718274,930.582924309603,71.3762504022989,331,3.7043996401049,357.795571412991,357.795571412991,70840.4712620788,357.795571412991,31128.2147129302,0.00105829166541926,5.57896882465492,24.9151621677472
"Summits",0.286692558217674,64.7925181571943,339.155270673746,10335.805776,2168.30995240901,51.9365542743363,1683,8.50724780918668,339.155270673746,339.155270673746,58658.6671542682,339.155270673746,76649.0911722667,0.00098128889693817,2.82743690076048,15.3262206788061
"tête.de.la.muraillette",0.245996545108089,15.7437788869177,291.012174632937,4191.807018,19.9543366528662,71.58237734375,253,2.18535564959628,291.012174632936,291.012174632936,27093.7282921947,291.012174632936,18624.7791765079,0.00096318395752957,7.60833862534172,31.6421908014056
"tour.choisy",0.21452646142169,3.86147630559042,253.783288091503,1883.846681,-1153.44066366061,97.0195776111111,39,-1.11788057461571,253.783288091503,253.783288091503,6730.22496393966,253.783288091503,4568.09918564706,0.000659459565326641,20.164998246684,58.284341430241
"underIce",0.306328175504614,33.3897711300029,362.384067207611,6820.524287,1538.77073280735,72.1750786605505,702,5.05810997963267,362.384067207611,362.384067207611,73795.7550825936,362.384067207611,39499.8633256296,0.00106668029938656,4.57970616523083,21.4849948194874
